t_min,ticker,name,description,launchpad,liquidity_eth,liq_growth,deployer,holders,linked_groups,selling_linked,true_multiple_path,theme_hint,_pair_address,_token_address,_dex,_source
5,UniCorn,UniCorn,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 1.5781, 1.2951, 1.6746, 2.3296, 2.1948, 3.0755, 3.2934, 3.8213, 3.2165, 3.5111, 4.4845, 4.1844, 4.5721, 5.281, 4.9847, 5.8974, 5.8713, 6.3603, 6.62]",,9kdarkTouENx85fY9N4YydYLgUjKZqXXBJnU4v7bgQ2b,9ZmpfSq4BjF3Ni5yfdSd9GJZqXAE2MZftzoxXXnzpump,pumpfun,dexscreener
10,SOLFONE,SolFone,,dexscreener,13.3094,0.7,,[],[],0,"[1.0, 0.9955, 0.9605, 0.9995, 1.0315, 1.196, 1.0882, 1.2345, 1.1859, 1.2118, 1.255, 1.2777, 1.2217, 1.3767, 1.4161, 1.3672, 1.2807, 1.4728, 1.4943, 1.4605]",sol,Bry5LTKzvBA17r7B77LJAfiTsV3CVv1YdKvt8jgqny3k,HeJY3gwRvLZyknKv11qJ78cbt4aRPuKDy7YAHq3Apump,pumpswap,dexscreener
15,TriplePONS,Pons Pons Pons Sahur,,dexscreener,13.2025,0.7,,[],[],0,"[1.0, 1.077, 1.057, 1.1911, 1.1661, 1.284, 1.4292, 1.5324, 1.6084, 1.8999, 1.6422, 1.9158, 1.9772, 1.9395, 2.0086, 2.0603, 2.3061, 2.3439, 2.3581, 2.53]",,HrFjCsWCkQfVHQg4tiPeKu8nivwdPv72WuZsjekdnWVE,DcxZYnRBF171nKzs1dd2gT2fCnLEJ6nqPRFt66WHpump,pumpswap,dexscreener
20,SOLANA,All Bridges Lead To Solana,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 0.9327, 0.9933, 1.0491, 0.9809, 0.9886, 0.9563, 1.0001, 0.9228, 0.9284, 0.9756, 0.8865, 0.8997, 0.912, 0.8975, 0.9704, 0.8913, 0.8786, 0.9573, 0.8974]",sol,zzaGPH6WJagBLHXm9BNX5pwNzBgRRQgSmJfho2wznq7,5Jmyc3aeLktVL5hEuLcdo7DvwiY2nc1D9Fxmi3Qrpump,pumpfun,dexscreener
25,PUMPI,Corydoras Pumpi,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 0.9274, 1.0803, 1.2848, 1.476, 1.3791, 1.6058, 1.7875, 1.6061, 1.6983, 1.7946, 1.7966, 1.941, 2.3214, 2.1225, 2.3691, 2.3606, 2.7145, 2.4314, 2.71]",sol,5mS7rtsBVj2six9DuCtzN76GEJyRTQKpany2kTgYLFVk,GVcTk121rBZqQ495qz4Vjx7LWVSGADdCm5BtPCnVpump,pumpfun,dexscreener
