t_min,ticker,name,description,launchpad,liquidity_eth,liq_growth,deployer,holders,linked_groups,selling_linked,true_multiple_path,theme_hint,_pair_address,_token_address,_dex,_source
5,UniCorn,UniCorn,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 0.9665, 1.8679, 2.1515, 2.3871, 2.0271, 3.1739, 2.8694, 3.4965, 3.2955, 4.2179, 4.4356, 4.137, 4.8131, 5.5374, 4.9534, 5.9427, 6.2283, 6.1772, 6.62]",,9kdarkTouENx85fY9N4YydYLgUjKZqXXBJnU4v7bgQ2b,9ZmpfSq4BjF3Ni5yfdSd9GJZqXAE2MZftzoxXXnzpump,pumpfun,dexscreener
10,SOLFONE,SolFone,,dexscreener,13.3094,0.7,,[],[],0,"[1.0, 1.095, 1.0777, 1.1054, 1.0968, 1.2207, 1.1554, 1.0774, 1.2142, 1.3087, 1.3375, 1.3388, 1.3146, 1.3922, 1.2369, 1.3947, 1.3414, 1.4208, 1.4098, 1.4605]",sol,Bry5LTKzvBA17r7B77LJAfiTsV3CVv1YdKvt8jgqny3k,HeJY3gwRvLZyknKv11qJ78cbt4aRPuKDy7YAHq3Apump,pumpswap,dexscreener
15,TriplePONS,Pons Pons Pons Sahur,,dexscreener,13.2025,0.7,,[],[],0,"[1.0, 0.8986, 1.0708, 1.1976, 1.378, 1.235, 1.3908, 1.4941, 1.7895, 1.6574, 1.6603, 1.768, 1.8428, 2.004, 2.2035, 2.1328, 2.3559, 2.1911, 2.4029, 2.53]",,HrFjCsWCkQfVHQg4tiPeKu8nivwdPv72WuZsjekdnWVE,DcxZYnRBF171nKzs1dd2gT2fCnLEJ6nqPRFt66WHpump,pumpswap,dexscreener
20,SOLANA,All Bridges Lead To Solana,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 0.9719, 0.9487, 0.9885, 0.9548, 0.9165, 0.9754, 1.0082, 0.9063, 0.9162, 0.8806, 0.9725, 0.9601, 0.8885, 0.9685, 0.9767, 0.8542, 0.8493, 0.9414, 0.8974]",sol,zzaGPH6WJagBLHXm9BNX5pwNzBgRRQgSmJfho2wznq7,5Jmyc3aeLktVL5hEuLcdo7DvwiY2nc1D9Fxmi3Qrpump,pumpfun,dexscreener
25,Magatard,Magatard,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 1.3119, 1.5373, 2.1206, 2.9315, 3.6366, 3.9404, 5.3159, 5.0912, 5.6509, 5.3724, 7.094, 7.5269, 7.3661, 8.6824, 9.5182, 8.9994, 9.5357, 9.6242, 10.82]",political,4kjjmBowadQ7NgBALWhkGkSDyJ6aRWqx4HNpSiVg5gBJ,9HC7yDTyznLNsedzNu1ra82FE3384tJdsBjk2UHPpump,pumpfun,dexscreener
30,PUMPI,Corydoras Pumpi,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 0.9441, 1.2594, 1.2224, 1.4942, 1.3574, 1.3696, 1.7525, 1.5464, 1.9075, 1.7993, 1.9354, 2.1788, 2.117, 2.3971, 2.4941, 2.2728, 2.7211, 2.7837, 2.71]",sol,5mS7rtsBVj2six9DuCtzN76GEJyRTQKpany2kTgYLFVk,GVcTk121rBZqQ495qz4Vjx7LWVSGADdCm5BtPCnVpump,pumpfun,dexscreener
